Column1,Column2,Column3
Introduction to Python,4,1340711
Introduction to R,4,1158585
Intermediate Python for Data Science,4,311510
Intermediate R,6,296087
Intro to SQL for Data Science,4,257394
Python Data Science Toolbox (Part 1),3,112743
Deep Learning in Python,4,107851
Data Visualization with ggplot2 (Part 1),5,107625
Data Manipulation in R with dplyr,4,97685
Importing Data in Python (Part 1),3,94648
Supervised Learning with scikit-learn,4,90508
pandas Foundations,4,88502
Cleaning Data in R,4,82745
Importing Data in R (Part 1),3,77921
Introduction to Machine Learning,6,74891
Python Data Science Toolbox (Part 2),4,68960
Introduction to Data Visualization with Python,4,67609
Writing Functions in R,4,61381
Reporting with R Markdown,3,60684
Cleaning Data in Python,4,58537
Joining Data in SQL,5,58389
Introduction to the Tidyverse,4,57565
"Data Analysis in R, the data.table Way",4,57135
Importing Data in Python (Part 2),2,52552
Intermediate R - Practice,4,52336
Statistical Thinking in Python (Part 1),3,50660
Introduction to Git for Data Science,4,49718
Introduction to Data,4,48833
Introduction to Databases in Python,4,45286
Manipulating DataFrames with pandas,4,43736
Data Visualization in R with ggvis,4,40689
Data Visualization with ggplot2 (Part 2),5,40548
Importing Data in R (Part 2),3,36311
Correlation and Regression,4,35601
Network Analysis in Python (Part 1),4,33322
Introduction to R for Finance,4,30662
Building Chatbots in Python,4,30063
Data Visualization in R,4,29878
Credit Risk Modeling in R,4,29699
Exploratory Data Analysis,4,29606
Unsupervised Learning in Python,4,29518
Text Mining: Bag of Words,4,28761
Joining Data in R with dplyr,4,28479
Machine Learning Toolbox,4,28009
Importing & Cleaning Data in R: Case Studies,4,27850
Natural Language Processing Fundamentals in Python,4,27758
Supervised Learning in R: Classification,4,27632
Merging DataFrames with pandas,4,27562
Interactive Data Visualization with Bokeh,4,27020
Statistical Thinking in Python (Part 2),4,25650
Introduction to Time Series Analysis,4,25216
Working with the RStudio IDE (Part 1),3,24068
Building Web Applications in R with Shiny,4,22995
Introduction to Shell for Data Science,4,22200
Manipulating Time Series Data in R with xts & zoo,4,22172
Machine Learning with the Experts: School Budgets,4,20899
Exploratory Data Analysis in R: Case Study,4,20365
Forecasting Using R,5,19923
Introduction to PySpark,4,19711
Unsupervised Learning in R,4,18559
Introduction to Portfolio Analysis in R,5,18064
Statistical Modeling in R (Part 1),4,16504
Importing & Managing Financial Data in Python,5,16333
Introduction to Time Series Analysis in Python,4,15016
Multiple and Logistic Regression,4,14957
